,Repository,Commit,Type,Node Before,Node After,Commit URL,Result,file,change,node,RefactorBERT
29,linux,40012f96b6765e588d8ffd7508d492339f2b9212,INLINE,fs/btrfs/inode.c:btrfs_wait_and_free_delalloc_work(btrfs_delalloc_work):279883-280014,"fs/btrfs/inode.c:__start_delalloc_inodes(btrfs_root, int, int):280028-281591",https://github.com/refdiff-study/linux/commit/40012f96b6765e588d8ffd7508d492339f2b9212,TP,fs/btrfs/inode.c,btrfs_wait_and_free_delalloc_work(btrfs_delalloc_work),279883-280014,1
30,darknet,fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,MOVE_FUNCTION,"src/convolutional_layer.h:rescale_weights(convolutional_layer, float, float):2398-2462","include/darknet.h:rescale_weights(layer, float, float):11478-11528",https://github.com/refdiff-study/darknet/commit/fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,TP,src/convolutional_layer.h,"rescale_weights(convolutional_layer, float, float)",2398-2462,1
31,darknet,2313a8eb54d703323279c0fb9b2c9c52d26f0cf9,MOVE_FUNCTION,src/darknet.c:train_cifar10(char):19119-20005,src/old.c:train_cifar10(char):3284-4170,https://github.com/refdiff-study/darknet/commit/2313a8eb54d703323279c0fb9b2c9c52d26f0cf9,TP,src/darknet.c,train_cifar10(char),19119-20005,1
32,darknet,809f924db2823b9e1eaf3efb9370380edc1f76ed,MOVE_FUNCTION,"src/mini_blas.h:pm(int, int, float):26-52","src/blas.h:pm(int, int, float):35-61",https://github.com/refdiff-study/darknet/commit/809f924db2823b9e1eaf3efb9370380edc1f76ed,TP,src/mini_blas.h,"pm(int, int, float)",26-52,1
33,obs-studio,daf5a4b9f3a4ac372387a9244addc46d47a7225e,MOVE_FUNCTION,libobs/obs-internal.h:obs_source_load(obs_source_t):23531-23568,libobs/obs.h:obs_source_load(obs_source_t):19056-19093,https://github.com/refdiff-study/obs-studio/commit/daf5a4b9f3a4ac372387a9244addc46d47a7225e,TP,libobs/obs-internal.h,obs_source_load(obs_source_t),23531-23568,1
34,swoole-src,a9c87d7295d20b7314f457655cc3312b5b2c477b,MOVE_FUNCTION,swoole_postgresql_coro.c:Z_PARAM_LONG(null):17998-18023,swoole_postgresql_coro.c:Z_PARAM_LONG(null):18196-18221,https://github.com/refdiff-study/swoole-src/commit/a9c87d7295d20b7314f457655cc3312b5b2c477b,FP,swoole_postgresql_coro.c,Z_PARAM_LONG(null),17998-18023,0
35,swoole-src,0be121ed76617f891e2710b82d30d3a3d5d8611e,MOVE_FUNCTION,swoole_socket_coro.c:Z_PARAM_LONG(null):16159-16177,swoole_socket_coro.c:Z_PARAM_LONG(null):31138-31156,https://github.com/refdiff-study/swoole-src/commit/0be121ed76617f891e2710b82d30d3a3d5d8611e,FP,swoole_socket_coro.c,Z_PARAM_LONG(null),16159-16177,0
36,darknet,516f019ba6fb88de7218dd3b4eaeadb1cf676518,MOVE_FUNCTION,"src/parser.c:print_softmax_cfg(FILE, softmax_layer, network, int):17947-18080","src/old.c:print_softmax_cfg(FILE, softmax_layer, network, int):3781-3914",https://github.com/refdiff-study/darknet/commit/516f019ba6fb88de7218dd3b4eaeadb1cf676518,TP,src/parser.c,"print_softmax_cfg(FILE, softmax_layer, network, int)",17947-18080,1
37,emscripten,2a57fd9b2d9d1ecbcf671c0e6439b93e0192d74e,MOVE_FUNCTION,"system/lib/pthread/library_pthread.c:__atomic_store_8(void, uint64_t, int):23710-23829","system/lib/pthread/library_pthread_asmjs.c:__atomic_store_8(void, uint64_t, int):7549-7658",https://github.com/refdiff-study/emscripten/commit/2a57fd9b2d9d1ecbcf671c0e6439b93e0192d74e,TP,system/lib/pthread/library_pthread.c,"__atomic_store_8(void, uint64_t, int)",23710-23829,1
38,toxcore,4bc2413c4451560e912617fd7432c4b6f141ccf7,MOVE_FUNCTION,"toxav/toxav_old.h:toxav_group_send_audio(Tox, int, int16_t, int, uint8_t, int):2646-2815","toxav/toxav.h:toxav_group_send_audio(Tox, int, int16_t, int, uint8_t, int):26297-26459",https://github.com/refdiff-study/toxcore/commit/4bc2413c4451560e912617fd7432c4b6f141ccf7,TP,toxav/toxav_old.h,"toxav_group_send_audio(Tox, int, int16_t, int, uint8_t, int)",2646-2815,1
39,git,65b5f9483eafea0ccdea59884da4e00e0cfeee1f,MOVE_FUNCTION,"cache.h:split_cmdline(char, char):64885-64933","alias.h:split_cmdline(char, char):84-132",https://github.com/refdiff-study/git/commit/65b5f9483eafea0ccdea59884da4e00e0cfeee1f,TP,cache.h,"split_cmdline(char, char)",64885-64933,0
40,darknet,9b1774bd39d65614cdbd2d4e3815086298008911,MOVE_RENAME_FUNCTION,src/connected_layer.c:activation(double):71-122,src/activations.c:relu_activation(double):154-210,https://github.com/refdiff-study/darknet/commit/9b1774bd39d65614cdbd2d4e3815086298008911,TP,src/connected_layer.c,activation(double),71-122,1
41,php-src,ec5b408d815b655cda638c329439795c190ee0dc,MOVE_RENAME_FUNCTION,ext/mbstring/oniguruma/src/regenc.h:P_(null):6113-6169,"ext/mbstring/oniguruma/src/oniguruma.h:onigenc_strdup(OnigEncoding, OnigUChar, OnigUChar):14615-14688",https://github.com/refdiff-study/php-src/commit/ec5b408d815b655cda638c329439795c190ee0dc,FP,ext/mbstring/oniguruma/src/regenc.h,P_(null),6113-6169,0
42,darknet,2313a8eb54d703323279c0fb9b2c9c52d26f0cf9,MOVE_RENAME_FUNCTION,src/darknet.c:basename(char):2046-2327,src/utils.c:basecfg(char):158-438,https://github.com/refdiff-study/darknet/commit/2313a8eb54d703323279c0fb9b2c9c52d26f0cf9,TP,src/darknet.c,basename(char),2046-2327,1
43,toxcore,2465f486acd90ed8395c8a83a13af09ecd024c98,MOVE_RENAME_FUNCTION,toxav/codec.c:buffer_full(PayloadBuffer):1526-1624,toxcore/util.c:rb_full(RingBuffer):4662-4746,https://github.com/refdiff-study/toxcore/commit/2465f486acd90ed8395c8a83a13af09ecd024c98,TP,toxav/codec.c,buffer_full(PayloadBuffer),1526-1624,1
44,redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,MOVE_RENAME_FUNCTION,"deps/jemalloc/src/chunk.c:chunk_commit_default(void, size_t, size_t, size_t, null):18610-18812","deps/jemalloc/src/extent.c:extent_commit_default(extent_hooks_t, void, size_t, size_t, size_t, null):54935-55163",https://github.com/refdiff-study/redis/commit/08e1c8e820031751bd58736cc334dda1bc55cb5c,TP,deps/jemalloc/src/chunk.c,"chunk_commit_default(void, size_t, size_t, size_t, null)",18610-18812,1
45,tmux,aad4e4ddb194cba9c01b0ddd696fb7b214e1a7eb,MOVE_RENAME_FUNCTION,"window-choose.c:window_choose_key(window_pane, client, session, null, mouse_event):1133-1245","window-client.c:window_client_key(window_pane, client, session, null, mouse_event):1198-1320",https://github.com/refdiff-study/tmux/commit/aad4e4ddb194cba9c01b0ddd696fb7b214e1a7eb,FP,window-choose.c,"window_choose_key(window_pane, client, session, null, mouse_event)",1133-1245,0
46,ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,MOVE_RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.h:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__read(JNIEnv, jobject, jbyteArray, jint):1093-1204","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.h:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__read(JNIEnv, jobject, jbyteArray, jint):1093-1204",https://github.com/refdiff-study/ijkplayer/commit/c504b6c753604ab25f78634ec486be13d8aedaae,TP,ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.h,"J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__read(JNIEnv, jobject, jbyteArray, jint)",1093-1204,1
47,curl,e04417d98f2cac095ea233a4a03e85d881e7ad7b,MOVE_RENAME_FUNCTION,lib/file.c:file_range(connectdata):4123-5928,lib/curl_range.c:Curl_range(connectdata):1373-3171,https://github.com/refdiff-study/curl/commit/e04417d98f2cac095ea233a4a03e85d881e7ad7b,TP,lib/file.c,file_range(connectdata),4123-5928,1
48,jq,0d414471bb41f41373754c680ecc7f955a9ec2ad,MOVE_RENAME_FUNCTION,"main.c:input_state_next_input(jq_state, void):7564-9126",util.c:jq_util_input_next_input(jq_util_input_state):6493-8199,https://github.com/refdiff-study/jq/commit/0d414471bb41f41373754c680ecc7f955a9ec2ad,TP,main.c,"input_state_next_input(jq_state, void)",7564-9126,1
49,darknet,8c5364f58569eaeb5582a4915b36b24fc5570c76,MOVE_RENAME_FUNCTION,"src/swag.c:validate_swag_recall(char, char):9184-12137","src/yolo.c:validate_yolo_recall(char, char):9464-12417",https://github.com/refdiff-study/darknet/commit/8c5364f58569eaeb5582a4915b36b24fc5570c76,TP,src/swag.c,"validate_swag_recall(char, char)",9184-12137,1
50,toxcore,8286c2c22fc110dcc58c981eb39dd7bf46ae8aa9,RENAME_FUNCTION,toxcore/tox.c:tox_save_size(Tox):6223-6323,toxcore/tox.c:tox_get_savedata_size(Tox):6223-6331,https://github.com/refdiff-study/toxcore/commit/8286c2c22fc110dcc58c981eb39dd7bf46ae8aa9,TP,toxcore/tox.c,tox_save_size(Tox),6223-6323,1
51,git,226c0ddd0d63dd6c8dde497c755af2ad1f02e0c1,RENAME_FUNCTION,exec_cmd.c:git_extract_argv0_path(char):962-1012,exec_cmd.c:git_resolve_executable_dir(char):5352-5406,https://github.com/refdiff-study/git/commit/226c0ddd0d63dd6c8dde497c755af2ad1f02e0c1,TP,exec_cmd.c,git_extract_argv0_path(char),962-1012,1
52,darknet,c53e03348c65462bcba33f6352087dd6b9268e8f,RENAME_FUNCTION,"src/yoloplus.c:train_yoloplus(char, char):1807-4828","src/swag.c:train_swag(char, char):1803-4047",https://github.com/refdiff-study/darknet/commit/c53e03348c65462bcba33f6352087dd6b9268e8f,TP,src/yoloplus.c,"train_yoloplus(char, char)",1807-4828,1
53,linux,267d2e18a281c965229a3c3ccce51c471f9c4f8a,RENAME_FUNCTION,"arch/nds32/kernel/dma.c:nds32_dma_free(device, size_t, void, dma_addr_t, null):5149-6592","arch/nds32/kernel/dma.c:arch_dma_free(device, size_t, void, dma_addr_t, null):4999-6430",https://github.com/refdiff-study/linux/commit/267d2e18a281c965229a3c3ccce51c471f9c4f8a,TP,arch/nds32/kernel/dma.c,"nds32_dma_free(device, size_t, void, dma_addr_t, null)",5149-6592,1
54,toxcore,2465f486acd90ed8395c8a83a13af09ecd024c98,RENAME_FUNCTION,"toxav/rtp.c:extract_header(uint8_t, int):2658-4426","toxav/rtp.c:parse_header_in(uint8_t, int):9246-10962",https://github.com/refdiff-study/toxcore/commit/2465f486acd90ed8395c8a83a13af09ecd024c98,TP,toxav/rtp.c,"extract_header(uint8_t, int)",2658-4426,1
55,redis,3fce4301ec54e173c811a8e08c320d9ef86c4de2,RENAME_FUNCTION,src/redis-cli.c:clusterManagerShowInfo(void):89754-91699,src/redis-cli.c:clusterManagerShowClusterInfo(void):89783-91735,https://github.com/refdiff-study/redis/commit/3fce4301ec54e173c811a8e08c320d9ef86c4de2,TP,src/redis-cli.c,clusterManagerShowInfo(void),89754-91699,1
56,jq,6366cfd7a4275a25e128cc55f4c24a4079bc7005,RENAME_FUNCTION,libm.h:LIBM_DD(null):101-113,libm.h:LIBM_DD_NO(null):471-486,https://github.com/refdiff-study/jq/commit/6366cfd7a4275a25e128cc55f4c24a4079bc7005,FP,libm.h,LIBM_DD(null),101-113,1
57,linux,4bac2bcd839605baf22e4c8b29e4e52156883e45,RENAME_FUNCTION,"net/nfc/llcp_sock.c:llcp_sock_poll(file, socket, poll_table):11626-12527","net/nfc/llcp_sock.c:llcp_sock_poll_mask(socket, __poll_t):11626-12461",https://github.com/refdiff-study/linux/commit/4bac2bcd839605baf22e4c8b29e4e52156883e45,TP,net/nfc/llcp_sock.c,"llcp_sock_poll(file, socket, poll_table)",11626-12527,0
58,jq,ae7f8d6ab9d29bd72f462fdafa4d7a9270706d3b,RENAME_FUNCTION,linker.c:name2relpath(jv):1160-1936,linker.c:validate_relpath(jv):2196-3481,https://github.com/refdiff-study/jq/commit/ae7f8d6ab9d29bd72f462fdafa4d7a9270706d3b,TP,linker.c,name2relpath(jv),1160-1936,1
