,Type,Repository,Commit,Node Before,Node After,Detected,file,change,RefactorBERT
10,EXTRACT_FUNCTION,torvalds/linux,dbd6dc752c8a6de428eacad47d4fd37e52f98183,"net/bridge/br_vlan.c:br_vlan_add(net_bridge, u16, u16, bool)","net/bridge/br_vlan.c:br_vlan_add_existing(net_bridge, net_bridge_vlan_group, net_bridge_vlan, u16, bool)",Yes,net/bridge/br_vlan.c,"br_vlan_add(net_bridge, u16, u16, bool)",1.0
11,EXTRACT_FUNCTION,git/git,ba97aea1659e249a3a58ecc5f583ee2056a90ad8,sequencer.c:is_index_unchanged(void),sequencer.c:get_cache_tree_oid(void),Yes,sequencer.c,is_index_unchanged(void),1.0
12,EXTRACT_FUNCTION,git/git,f348ac923c9f834c3cdc434e6266872cf5710b71,"refs.c:find_containing_dir(ref_dir, char, int)","refs.c:search_for_subdir(ref_dir, char, int)",Yes,refs.c,"find_containing_dir(ref_dir, char, int)",1.0
13,EXTRACT_FUNCTION,torvalds/linux,2685218b3f3dd2af1c9ac09d7b3800725bb34d9c,"drivers/net/wireless/ath/ath10k/pci.c:ath10k_pci_interrupt_handler(int, void)",drivers/net/wireless/ath/ath10k/pci.c:ath10k_pci_disable_and_clear_legacy_irq(ath10k),Yes,drivers/net/wireless/ath/ath10k/pci.c,"ath10k_pci_interrupt_handler(int, void)",0.0
14,EXTRACT_FUNCTION,swoole/swoole-src,df32479b2eca9861125631261010d63778902feb,"swoole_mysql.c:mysql_handshake(mysql_connector, char, int)","swoole_mysql.c:mysql_auth_encrypt_dispatch(char, char, char, zend_size_t, char, int)",No,swoole_mysql.c,"mysql_handshake(mysql_connector, char, int)",1.0
15,EXTRACT_FUNCTION,torvalds/linux,c8c310c99e2d79e3381b33ac4300d6777ddaaa7e,"drivers/media/platform/vsp1/vsp1_drm.c:vsp1_du_atomic_flush(device, int)",drivers/media/platform/vsp1/vsp1_drm.c:vsp1_du_pipeline_configure(vsp1_pipeline),Yes,drivers/media/platform/vsp1/vsp1_drm.c,"vsp1_du_atomic_flush(device, int)",1.0
16,EXTRACT_FUNCTION,git/git,ae2948f30c7de56e2805d26f78ea8205f6c98682,upload-pack.c:receive_needs(void),"upload-pack.c:process_shallow(char, object_array)",Yes,upload-pack.c,receive_needs(void),1.0
17,EXTRACT_FUNCTION,FFmpeg/FFmpeg,0a243bedec0ad51d0abf9585c5166a12d94d35d6,"libavfilter/vf_zscale.c:filter_frame(AVFilterLink, AVFrame)","libavfilter/vf_zscale.c:format_init(zimg_image_format, AVFrame, AVPixFmtDescriptor, int, int, int, int, int)",Yes,libavfilter/vf_zscale.c,"filter_frame(AVFilterLink, AVFrame)",1.0
18,EXTRACT_FUNCTION,FFmpeg/FFmpeg,6ed0f70f97c882813199b3bafd724ceeb43659de,"avconv.c:init_output_stream(OutputStream, char, int)",avconv.c:init_output_stream_streamcopy(OutputStream),No,avconv.c,"init_output_stream(OutputStream, char, int)",1.0
19,EXTRACT_FUNCTION,ggreer/the_silver_searcher,634d05f73b42e15733d999b8b696a928967619df,"src/main.c:main(int, char)","src/util.c:check_err(int, char)",No,src/main.c,"main(int, char)",1.0
20,INLINE,torvalds/linux,e283de3a4fa885aed11525129fd4570f92c1d1a9,include/linux/netdevice.h:netdev_features_size_check(void),net/core/dev.c:register_netdevice(net_device),No,include/linux/netdevice.h,netdev_features_size_check(void),0.0
21,INLINE,FFmpeg/FFmpeg,e6114d21ac00f78f164c6755d51cc811d7286a26,"libavfilter/vf_nlmeans.c:get_integral_patch_value(uint32_t, int, int, int, int)","libavfilter/vf_nlmeans.c:nlmeans_slice(AVFilterContext, void, int, int)",Yes,libavfilter/vf_nlmeans.c,"get_integral_patch_value(uint32_t, int, int, int, int)",1.0
22,INLINE,FFmpeg/FFmpeg,d19174c673b8788de825a936d8d7c9340aefcd56,"libavcodec/mediacodecdec.c:mediacodec_process_data(AVCodecContext, AVFrame, int, AVPacket)","libavcodec/mediacodecdec.c:mediacodec_receive_frame(AVCodecContext, AVFrame)",Yes,libavcodec/mediacodecdec.c,"mediacodec_process_data(AVCodecContext, AVFrame, int, AVPacket)",1.0
23,INLINE,torvalds/linux,779e1aabb49e4f3749be659eb4edfe23db09a800,"drivers/rtc/rtc-s35390a.c:s35390a_set_datetime(i2c_client, rtc_time)","drivers/rtc/rtc-s35390a.c:s35390a_rtc_set_time(device, rtc_time)",Yes,drivers/rtc/rtc-s35390a.c,"s35390a_set_datetime(i2c_client, rtc_time)",1.0
24,INLINE,torvalds/linux,2d2b300b3875cb76b67e5aa6ba39b58519942411,"drivers/rtc/rtc-rx8581.c:rx8581_get_datetime(i2c_client, rtc_time)","drivers/rtc/rtc-rx8581.c:rx8581_rtc_read_time(device, rtc_time)",Yes,drivers/rtc/rtc-rx8581.c,"rx8581_get_datetime(i2c_client, rtc_time)",1.0
25,INLINE,torvalds/linux,e13f421ba81b970f0952b2911bfc34aa9db5197f,"drivers/lightnvm/pblk-read.c:pblk_submit_read_io(pblk, nvm_rq)","drivers/lightnvm/pblk-read.c:pblk_submit_read(pblk, bio)",Yes,drivers/lightnvm/pblk-read.c,"pblk_submit_read_io(pblk, nvm_rq)",1.0
26,INLINE,torvalds/linux,e2c8e1a9f7e52203c9a2712a2e35326d212ad5d7,"drivers/rtc/rtc-m41t80.c:m41t80_get_datetime(i2c_client, rtc_time)","drivers/rtc/rtc-m41t80.c:m41t80_rtc_read_time(device , rtc_time)",Yes,drivers/rtc/rtc-m41t80.c,"m41t80_get_datetime(i2c_client, rtc_time)",1.0
27,INLINE,torvalds/linux,859a6ddbe5d95fa95a66247c290c2c266fe67bf8,"drivers/rtc/rtc-max6900.c:max6900_i2c_read_time(i2c_client, rtc_time)","drivers/rtc/rtc-max6900.c:max6900_rtc_read_time(device, rtc_time)",Yes,drivers/rtc/rtc-max6900.c,"max6900_i2c_read_time(i2c_client, rtc_time)",1.0
28,INLINE,git/git,753935749f21b10b306bc81559bba2912a7128a6,"builtin/blame.c:prepare_blame_range(scoreboard, char, null, null, null)","builtin/blame.c:cmd_blame(int, char, char)",Yes,builtin/blame.c,"prepare_blame_range(scoreboard, char, null, null, null)",1.0
29,INLINE,FFmpeg/FFmpeg,43b3273e5b2ab022f068d758fdaba90aee790fbf,"libavcodec/flacenc.c:encode_residual_verbatim(int32_t, int32_t, int)","libavcodec/flacenc.c:encode_residual_ch(FlacEncodeContext, int)",Yes,libavcodec/flacenc.c,"encode_residual_verbatim(int32_t, int32_t, int)",1.0
30,MOVE_FUNCTION,torvalds/linux,971a9ca6259752c04da09535707d08ccc5d1ed4b,arch/s390/kernel/early.c:reset_tod_clock(void),arch/s390/kernel/early_nobss.c:reset_tod_clock(void),No,arch/s390/kernel/early.c,reset_tod_clock(void),1.0
31,MOVE_FUNCTION,FFmpeg/FFmpeg,47f212329e5d73c81e2c67acd6a481bc0fe687b2,"libavcodec/lossless_videodsp.c:add_int16_c(uint16_t, uint16_t, unsigned, int)","libavcodec/huffyuvdsp.c:add_int16_c(uint16_t, uint16_t, unsigned, int)",Yes,libavcodec/lossless_videodsp.c,"add_int16_c(uint16_t, uint16_t, unsigned, int)",1.0
32,MOVE_FUNCTION,torvalds/linux,c349cdcaba589fb49cf105093ebc695eb8b9ff08,kernel/livepatch/core.c:klp_find_ops(null),kernel/livepatch/patch.c:klp_find_ops(null),Yes,kernel/livepatch/core.c,klp_find_ops(null),1.0
33,MOVE_FUNCTION,git/git,ac6c561b598ae74d8e752e22607194536000e4db,"branch.c:find_linked_symref(char, char, char)","worktree.c:find_linked_symref(char, char, char)",Yes,branch.c,"find_linked_symref(char, char, char)",1.0
34,MOVE_FUNCTION,curl/curl,e4d6ade4b318c2694937695aeaf2b1e542d394f6,lib/hostares.c:Curl_freeaddrinfo(Curl_addrinfo),lib/hostip.c:Curl_freeaddrinfo(Curl_addrinfo),No,lib/hostares.c,Curl_freeaddrinfo(Curl_addrinfo),1.0
35,MOVE_FUNCTION,torvalds/linux,d9124e064d27a52c7a6e4bdc890cf0d63f079e85,drivers/staging/rtl8188eu/hal/HalPhyRf_8188e.c:get_right_chnl_for_iqk(u8),drivers/staging/rtl8188eu/hal/phy.c:get_right_chnl_for_iqk(u8),Yes,drivers/staging/rtl8188eu/hal/HalPhyRf_8188e.c,get_right_chnl_for_iqk(u8),1.0
36,MOVE_FUNCTION,torvalds/linux,f5bffecda951b59d0d3cdd616d68952abc52bc40,"net/core/filter.c:bpf_internal_load_pointer_neg_helper(sk_buff, int, int)","kernel/bpf/core.c:bpf_internal_load_pointer_neg_helper(sk_buff, int, int)",Yes,net/core/filter.c,"bpf_internal_load_pointer_neg_helper(sk_buff, int, int)",1.0
37,MOVE_FUNCTION,irungentoo/toxcore,88678e584aaf3956a0c88c80fa65efc505773f7d,"toxcore/DHT.c:add_toping(DHT, uint8_t, IP_Port)","toxcore/ping.c:add_toping(PING, uint8_t, IP_Port)",Yes,toxcore/DHT.c,"add_toping(DHT, uint8_t, IP_Port)",1.0
38,MOVE_FUNCTION,torvalds/linux,eecb3c07e7cce24c35de97e5f895874a8a2e9126,"drivers/staging/keucr/init.c:usb_stor_print_cmd(us_data, scsi_cmnd)","drivers/staging/keucr/transport.c:usb_stor_print_cmd(us_data, scsi_cmnd)",Yes,drivers/staging/keucr/init.c,"usb_stor_print_cmd(us_data, scsi_cmnd)",1.0
39,MOVE_FUNCTION,git/git,b101793c431b858e49b909bb309a87145fb7348c,builtin/am.c:index_has_changes(strbuf),merge.c:index_has_changes(strbuf),Yes,builtin/am.c,index_has_changes(strbuf),1.0
40,MOVE_RENAME_FUNCTION,curl/curl,591a6933da7140693fba8df958355b1929c81e4a,"lib/url.c:Curl_addHandleToPipeline(SessionHandle, curl_llist)","lib/pipeline.c:addHandleToPipeline(SessionHandle, curl_llist)",Yes,lib/url.c,"Curl_addHandleToPipeline(SessionHandle, curl_llist)",1.0
41,MOVE_RENAME_FUNCTION,torvalds/linux,d0cabbb021bee5c4b831a0235af9534ad07f8d3d,tools/testing/selftests/bpf/trace_helpers.c:perf_event_read(perf_event_print_fn),"tools/lib/bpf/libbpf.c:bpf_perf_event_read_simple(void, null, null, void, size_t, bpf_perf_event_print_t, void)",Yes,tools/testing/selftests/bpf/trace_helpers.c,perf_event_read(perf_event_print_fn),1.0
42,MOVE_RENAME_FUNCTION,torvalds/linux,fd311f1e7548cf45a273d46aa9c9c8d8330d803c,drivers/net/ethernet/cavium/liquidio/lio_vf_main.c:delete_glists(lio),drivers/net/ethernet/cavium/liquidio/lio_core.c:lio_delete_glists(lio),Yes,drivers/net/ethernet/cavium/liquidio/lio_vf_main.c,delete_glists(lio),1.0
43,MOVE_RENAME_FUNCTION,torvalds/linux,85a0cd81863469484f22a9b69c7f4440989d32b8,drivers/net/ethernet/cavium/liquidio/lio_main.c:lio_list_delete_head(list_head),drivers/net/ethernet/cavium/liquidio/octeon_network.h:lio_list_delete_head(list_head),Yes,drivers/net/ethernet/cavium/liquidio/lio_main.c,lio_list_delete_head(list_head),1.0
44,MOVE_RENAME_FUNCTION,torvalds/linux,13f71050c10df77c1b9f2808c410d68dfcdb26b4,drivers/net/wireless/ath/ath9k/init.c:ath9k_init_channels_rates(ath_softc),drivers/net/wireless/ath/ath9k/common-init.c:ath9k_cmn_init_channels_rates(ath_common),Yes,drivers/net/wireless/ath/ath9k/init.c,ath9k_init_channels_rates(ath_softc),1.0
45,MOVE_RENAME_FUNCTION,torvalds/linux,b60d105242ac457dab057f676c8aaa20d1821b10,"drivers/net/wireless/ath/ath9k/init.c:setup_ht_cap(ath_softc, ieee80211_sta_ht_cap)","drivers/net/wireless/ath/ath9k/common-init.c:ath9k_cmn_setup_ht_cap(ath_hw, ieee80211_sta_ht_cap)",Yes,drivers/net/wireless/ath/ath9k/init.c,"setup_ht_cap(ath_softc, ieee80211_sta_ht_cap)",1.0
46,MOVE_RENAME_FUNCTION,torvalds/linux,6f817f4cda68b09621312ec5ba84217bc5e37b3d,"mm/memcontrol.c:memcg_update_cache_size(kmem_cache, int)","mm/slab_common.c:memcg_update_cache_params(kmem_cache, int)",No,mm/memcontrol.c,"memcg_update_cache_size(kmem_cache, int)",1.0
47,MOVE_RENAME_FUNCTION,git/git,b2172fdf702426cb4eba093b5504d0a0e9e59746,"builtin/tag.c:parse_opt_points_at(option, char, int)","parse-options-cb.c:parse_opt_object_name(option, char, int)",Yes,builtin/tag.c,"parse_opt_points_at(option, char, int)",1.0
48,MOVE_RENAME_FUNCTION,git/git,7fcdb36e29f9a5e779bc9e44cd69f8f69fac9426,"builtin-branch.c:has_commit(commit, commit_list)","commit.c:is_descendant_of(commit, commit_list)",Yes,builtin-branch.c,"has_commit(commit, commit_list)",1.0
49,RENAME_FUNCTION,torvalds/linux,254361c1890e67486cd957e9072e518b1c464e27,"drivers/infiniband/hw/hfi1/chip.c:read_vc_local_link_width(hfi1_devdata, u8, u8, u16)","drivers/infiniband/hw/hfi1/chip.c:read_vc_local_link_mode(hfi1_devdata, u8, u8, u16)",Yes,drivers/infiniband/hw/hfi1/chip.c,"read_vc_local_link_width(hfi1_devdata, u8, u8, u16)",1.0
50,RENAME_FUNCTION,git/git,611118d06ebba572424fa39473869eee1a1238fb,"refs/files-backend.c:resolve_missing_loose_ref(files_ref_store, char, char, int)","refs/files-backend.c:resolve_packed_ref(files_ref_store, char, char, int)",Yes,refs/files-backend.c,"resolve_missing_loose_ref(files_ref_store, char, char, int)",1.0
51,RENAME_FUNCTION,git/git,ffeef642310f00bc43341bcb9eeadf06e0fd5904,refs/files-backend.c:ref_resolves_to_object(ref_entry),refs/files-backend.c:entry_resolves_to_object(ref_entry),Yes,refs/files-backend.c,ref_resolves_to_object(ref_entry),1.0
52,RENAME_FUNCTION,obsproject/obs-studio,ccfd57d100e9e6e81281af0d8659976efb5354d1,"libobs-opengl/gl-shader.c:gs_shader_setmatrix3(gs_sparam_t, matrix3)","libobs-opengl/gl-shader.c:gs_shader_set_matrix3(gs_sparam_t, matrix3)",Yes,libobs-opengl/gl-shader.c,"gs_shader_setmatrix3(gs_sparam_t, matrix3)",1.0
53,RENAME_FUNCTION,curl/curl,f4413ca65a2b5bf469df3a4ab05d965e5f59c91d,lib/endian.c:readshort_le(char),lib/endian.c:Curl_read16_le(char),Yes,lib/endian.c,readshort_le(char),1.0
54,RENAME_FUNCTION,git/git,7003b3ce21e0ddf9028e124fd9add5ac2319e112,"refs.c:verify_refname_available(char, string_list, string_list, ref_dir, strbuf)","refs.c:verify_refname_available_dir(char, string_list, string_list, ref_dir, strbuf)",Yes,refs.c,"verify_refname_available(char, string_list, string_list, ref_dir, strbuf)",1.0
55,RENAME_FUNCTION,obsproject/obs-studio,7b402245dcf42fe7ae3a2d34c6ae1b4d1d6892af,"libobs/obs-source.c:obs_source_releaseframe(obs_source_t, source_frame)","libobs/obs-source.c:obs_source_release_frame(obs_source_t, source_frame)",Yes,libobs/obs-source.c,"obs_source_releaseframe(obs_source_t, source_frame)",1.0
56,RENAME_FUNCTION,FFmpeg/FFmpeg,5da35d1cb37fbaf0c6233955ec1934216d75a3bc,"libavformat/mov.c:mov_metadata_stik(MOVContext, AVIOContext, unsigned, char)","libavformat/mov.c:mov_metadata_int8_no_padding(MOVContext, AVIOContext, unsigned, char)",Yes,libavformat/mov.c,"mov_metadata_stik(MOVContext, AVIOContext, unsigned, char)",1.0
57,RENAME_FUNCTION,FFmpeg/FFmpeg,aa33d8096ad480f8df8ddc60945f101f1846ef07,"libavcodec/alac.c:sign_extended32(int32_t, int)","libavcodec/alac.c:extend_sign32(int32_t, int)",Yes,libavcodec/alac.c,"sign_extended32(int32_t, int)",1.0
58,RENAME_FUNCTION,torvalds/linux,7aac453a03a2216fcda4f4d72ae4d2089a013bb3,fs/ceph/mds_client.c:drop_leases(ceph_mds_client),fs/ceph/mds_client.c:lock_unlock_sessions(ceph_mds_client),Yes,fs/ceph/mds_client.c,drop_leases(ceph_mds_client),1.0
